	Source	Advisory Partner	Advisor	Supplier	Customer	Account	Amount	Date	count	AccountID
0	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-06	45	7a84PTo00k
1	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
2	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
3	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-05	45	7a84PTo00k
4	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
5	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
6	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
7	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
8	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
9	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
10	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
11	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
12	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
13	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
14	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
15	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
16	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
17	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-07	45	7a84PTo00k
18	Insecta	SQL Answers	Jonah J. Jameson	PharoTek	Crypteroniaceae Cryptocleidus	83014037	$0.15 	2022-02-06	45	7a84PTo00k
